variant_key,variant_label,model_dir,checkpoint,step,max_step,observed_max_step,epoch_progress,color,NDCG@10,HR@10,NDCG@50,HR@50,NDCG@5,HR@5
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-333,333,3326,3326,0.20024052916416116,#2a9d8f,0.0902,0.112,0.1035,0.1736,0.0853,0.0967
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-666,666,3326,3326,0.4004810583283223,#2a9d8f,0.0927,0.1125,0.106,0.1736,0.0878,0.0969
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-999,999,3326,3326,0.6007215874924835,#2a9d8f,0.0936,0.1152,0.1069,0.1768,0.0887,0.0999
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1332,1332,3326,3326,0.8009621166566446,#2a9d8f,0.0945,0.1158,0.1075,0.1754,0.0896,0.1004
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1665,1665,3326,3326,1.0012026458208059,#2a9d8f,0.095,0.1165,0.1076,0.1743,0.0902,0.1017
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1998,1998,3326,3326,1.201443174984967,#2a9d8f,0.0949,0.1154,0.106,0.1663,0.0902,0.1009
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2331,2331,3326,3326,1.4016837041491281,#2a9d8f,0.0953,0.1161,0.1063,0.1659,0.0909,0.1024
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,#2a9d8f,0.0959,0.1182,0.1069,0.1684,0.091,0.103
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,#2a9d8f,0.096,0.1179,0.107,0.1681,0.0911,0.1027
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-3326,3326,3326,3326,2.0,#2a9d8f,0.0959,0.1176,0.1069,0.1679,0.0912,0.103
